Year Reported,Year Reported Code,Age at Diagnosis,Race or Ethnicity,Sex and Sexual Orientation,Vital Status,Vital Status Code,Cases
Before 1982,1981,20 - 24 Years,Black (and also not Hispanic),Male (bisexual),Dead: Reported dead before 2001,1,1
Before 1982,1981,20 - 24 Years,Black (and also not Hispanic),Male (bisexual),,,1
Before 1982,1981,20 - 24 Years,Black (and also not Hispanic),Male (homosexual)  or Unknown Classification,Dead: Reported dead before 2001,1,1
Before 1982,1981,20 - 24 Years,Black (and also not Hispanic),Male (homosexual)  or Unknown Classification,,,1
Before 1982,1981,20 - 24 Years,Black (and also not Hispanic),,,,2
Before 1982,1981,20 - 24 Years,Hispanic,Male (homosexual)  or Unknown Classification,Dead: Reported dead before 2001,1,1
Before 1982,1981,20 - 24 Years,Hispanic,Male (homosexual)  or Unknown Classification,,,1
Before 1982,1981,20 - 24 Years,Hispanic,,,,1
Before 1982,1981,20 - 24 Years,White (and also not Hispanic),Female (any),Dead: Reported dead before 2001,1,1
Before 1982,1981,20 - 24 Years,White (and also not Hispanic),Female (any),,,1
Before 1982,1981,20 - 24 Years,White (and also not Hispanic),Male (homosexual)  or Unknown Classification,Dead: Reported dead before 2001,1,2
Before 1982,1981,20 - 24 Years,White (and also not Hispanic),Male (homosexual)  or Unknown Classification,,,2
Before 1982,1981,20 - 24 Years,White (and also not Hispanic),,,,3
Before 1982,1981,20 - 24 Years,,,,,6
Before 1982,1981,25 - 29 Years,Black (and also not Hispanic),Female (any),Dead: Reported dead before 2001,1,1
Before 1982,1981,25 - 29 Years,Black (and also not Hispanic),Female (any),,,1
Before 1982,1981,25 - 29 Years,Black (and also not Hispanic),Male (bisexual),Dead: Reported dead before 2001,1,1
Before 1982,1981,25 - 29 Years,Black (and also not Hispanic),Male (bisexual),,,1
Before 1982,1981,25 - 29 Years,Black (and also not Hispanic),Male (heterosexual or pediatric),Dead: Reported dead before 2001,1,4
Before 1982,1981,25 - 29 Years,Black (and also not Hispanic),Male (heterosexual or pediatric),,,4
Before 1982,1981,25 - 29 Years,Black (and also not Hispanic),Male (homosexual)  or Unknown Classification,Dead: Reported dead before 2001,1,5
Before 1982,1981,25 - 29 Years,Black (and also not Hispanic),Male (homosexual)  or Unknown Classification,,,5
Before 1982,1981,25 - 29 Years,Black (and also not Hispanic),,,,11
Before 1982,1981,25 - 29 Years,Hispanic,Female (any),Dead: Reported dead before 2001,1,1
Before 1982,1981,25 - 29 Years,Hispanic,Female (any),,,1
Before 1982,1981,25 - 29 Years,Hispanic,Male (heterosexual or pediatric),Dead: Reported dead before 2001,1,1
Before 1982,1981,25 - 29 Years,Hispanic,Male (heterosexual or pediatric),,,1
Before 1982,1981,25 - 29 Years,Hispanic,Male (homosexual)  or Unknown Classification,Dead: Reported dead before 2001,1,4
Before 1982,1981,25 - 29 Years,Hispanic,Male (homosexual)  or Unknown Classification,,,4
Before 1982,1981,25 - 29 Years,Hispanic,,,,6
Before 1982,1981,25 - 29 Years,White (and also not Hispanic),Male (heterosexual or pediatric),Dead: Reported dead before 2001,1,1
Before 1982,1981,25 - 29 Years,White (and also not Hispanic),Male (heterosexual or pediatric),,,1
Before 1982,1981,25 - 29 Years,White (and also not Hispanic),Male (homosexual)  or Unknown Classification,Dead: Reported dead before 2001,1,11
Before 1982,1981,25 - 29 Years,White (and also not Hispanic),Male (homosexual)  or Unknown Classification,,,11
Before 1982,1981,25 - 29 Years,White (and also not Hispanic),,,,12
Before 1982,1981,25 - 29 Years,,,,,29
Before 1982,1981,30 - 34 Years,American Indian /Alaskan Native,Female (any),Dead: Reported dead before 2001,1,1
Before 1982,1981,30 - 34 Years,American Indian /Alaskan Native,Female (any),,,1
Before 1982,1981,30 - 34 Years,American Indian /Alaskan Native,,,,1
Before 1982,1981,30 - 34 Years,Black (and also not Hispanic),Female (any),Dead: Reported dead before 2001,1,1
Before 1982,1981,30 - 34 Years,Black (and also not Hispanic),Female (any),,,1
Before 1982,1981,30 - 34 Years,Black (and also not Hispanic),Male (heterosexual or pediatric),Dead: Reported dead before 2001,1,5
Before 1982,1981,30 - 34 Years,Black (and also not Hispanic),Male (heterosexual or pediatric),,,5
Before 1982,1981,30 - 34 Years,Black (and also not Hispanic),Male (homosexual)  or Unknown Classification,Dead: Reported dead before 2001,1,6
Before 1982,1981,30 - 34 Years,Black (and also not Hispanic),Male (homosexual)  or Unknown Classification,,,6
Before 1982,1981,30 - 34 Years,Black (and also not Hispanic),,,,12
Before 1982,1981,30 - 34 Years,Hispanic,Male (bisexual),Dead: Reported dead before 2001,1,1
Before 1982,1981,30 - 34 Years,Hispanic,Male (bisexual),,,1
Before 1982,1981,30 - 34 Years,Hispanic,Male (heterosexual or pediatric),Dead: Reported dead before 2001,1,2
Before 1982,1981,30 - 34 Years,Hispanic,Male (heterosexual or pediatric),,,2
Before 1982,1981,30 - 34 Years,Hispanic,Male (homosexual)  or Unknown Classification,Dead: Reported dead before 2001,1,5
Before 1982,1981,30 - 34 Years,Hispanic,Male (homosexual)  or Unknown Classification,,,5
Before 1982,1981,30 - 34 Years,Hispanic,,,,8
Before 1982,1981,30 - 34 Years,White (and also not Hispanic),Male (bisexual),Dead: Reported dead before 2001,1,1
Before 1982,1981,30 - 34 Years,White (and also not Hispanic),Male (bisexual),,,1
Before 1982,1981,30 - 34 Years,White (and also not Hispanic),Male (homosexual)  or Unknown Classification,Dead: Reported dead before 2001,1,20
Before 1982,1981,30 - 34 Years,White (and also not Hispanic),Male (homosexual)  or Unknown Classification,,,20
Before 1982,1981,30 - 34 Years,White (and also not Hispanic),,,,21
Before 1982,1981,30 - 34 Years,,,,,42
Before 1982,1981,35 - 39 Years or age is missing,Black (and also not Hispanic),Male (heterosexual or pediatric),Dead: Reported dead before 2001,1,2
Before 1982,1981,35 - 39 Years or age is missing,Black (and also not Hispanic),Male (heterosexual or pediatric),,,2
Before 1982,1981,35 - 39 Years or age is missing,Black (and also not Hispanic),Male (homosexual)  or Unknown Classification,Dead: Reported dead before 2001,1,3
Before 1982,1981,35 - 39 Years or age is missing,Black (and also not Hispanic),Male (homosexual)  or Unknown Classification,,,3
Before 1982,1981,35 - 39 Years or age is missing,Black (and also not Hispanic),,,,5
Before 1982,1981,35 - 39 Years or age is missing,Hispanic,Male (homosexual)  or Unknown Classification,Dead: Reported dead before 2001,1,3
Before 1982,1981,35 - 39 Years or age is missing,Hispanic,Male (homosexual)  or Unknown Classification,,,3
Before 1982,1981,35 - 39 Years or age is missing,Hispanic,,,,3
Before 1982,1981,35 - 39 Years or age is missing,White (and also not Hispanic),Male (homosexual)  or Unknown Classification,Dead: Reported dead before 2001,1,30
Before 1982,1981,35 - 39 Years or age is missing,White (and also not Hispanic),Male (homosexual)  or Unknown Classification,,,30
Before 1982,1981,35 - 39 Years or age is missing,White (and also not Hispanic),,,,30
Before 1982,1981,35 - 39 Years or age is missing,,,,,38
Before 1982,1981,40 - 44 Years,Black (and also not Hispanic),Male (heterosexual or pediatric),Dead: Reported dead before 2001,1,3
Before 1982,1981,40 - 44 Years,Black (and also not Hispanic),Male (heterosexual or pediatric),,,3
Before 1982,1981,40 - 44 Years,Black (and also not Hispanic),Male (homosexual)  or Unknown Classification,Dead: Reported dead before 2001,1,3
Before 1982,1981,40 - 44 Years,Black (and also not Hispanic),Male (homosexual)  or Unknown Classification,,,3
Before 1982,1981,40 - 44 Years,Black (and also not Hispanic),,,,6
Before 1982,1981,40 - 44 Years,Hispanic,Male (heterosexual or pediatric),Dead: Reported dead before 2001,1,1
Before 1982,1981,40 - 44 Years,Hispanic,Male (heterosexual or pediatric),,,1
Before 1982,1981,40 - 44 Years,Hispanic,Male (homosexual)  or Unknown Classification,Dead: Reported dead before 2001,1,1
Before 1982,1981,40 - 44 Years,Hispanic,Male (homosexual)  or Unknown Classification,,,1
Before 1982,1981,40 - 44 Years,Hispanic,,,,2
Before 1982,1981,40 - 44 Years,White (and also not Hispanic),Male (bisexual),Alive:  Not reported dead before 2001,0,1
Before 1982,1981,40 - 44 Years,White (and also not Hispanic),Male (bisexual),,,1
Before 1982,1981,40 - 44 Years,White (and also not Hispanic),Male (homosexual)  or Unknown Classification,Alive:  Not reported dead before 2001,0,1
Before 1982,1981,40 - 44 Years,White (and also not Hispanic),Male (homosexual)  or Unknown Classification,Dead: Reported dead before 2001,1,12
Before 1982,1981,40 - 44 Years,White (and also not Hispanic),Male (homosexual)  or Unknown Classification,,,13
Before 1982,1981,40 - 44 Years,White (and also not Hispanic),,,,14
Before 1982,1981,40 - 44 Years,,,,,22
Before 1982,1981,45 - 49 Years,Black (and also not Hispanic),Male (homosexual)  or Unknown Classification,Dead: Reported dead before 2001,1,1
Before 1982,1981,45 - 49 Years,Black (and also not Hispanic),Male (homosexual)  or Unknown Classification,,,1
Before 1982,1981,45 - 49 Years,Black (and also not Hispanic),,,,1
Before 1982,1981,45 - 49 Years,Hispanic,Male (homosexual)  or Unknown Classification,Dead: Reported dead before 2001,1,1
Before 1982,1981,45 - 49 Years,Hispanic,Male (homosexual)  or Unknown Classification,,,1
Before 1982,1981,45 - 49 Years,Hispanic,,,,1
Before 1982,1981,45 - 49 Years,White (and also not Hispanic),Male (bisexual),Dead: Reported dead before 2001,1,1
Before 1982,1981,45 - 49 Years,White (and also not Hispanic),Male (bisexual),,,1
Before 1982,1981,45 - 49 Years,White (and also not Hispanic),Male (heterosexual or pediatric),Dead: Reported dead before 2001,1,1
Before 1982,1981,45 - 49 Years,White (and also not Hispanic),Male (heterosexual or pediatric),,,1
Before 1982,1981,45 - 49 Years,White (and also not Hispanic),Male (homosexual)  or Unknown Classification,Dead: Reported dead before 2001,1,5
Before 1982,1981,45 - 49 Years,White (and also not Hispanic),Male (homosexual)  or Unknown Classification,,,5
Before 1982,1981,45 - 49 Years,White (and also not Hispanic),,,,7
Before 1982,1981,45 - 49 Years,,,,,9
Before 1982,1981,50 - 54 Years,Black (and also not Hispanic),Male (homosexual)  or Unknown Classification,Dead: Reported dead before 2001,1,2
Before 1982,1981,50 - 54 Years,Black (and also not Hispanic),Male (homosexual)  or Unknown Classification,,,2
Before 1982,1981,50 - 54 Years,Black (and also not Hispanic),,,,2
Before 1982,1981,50 - 54 Years,White (and also not Hispanic),Male (homosexual)  or Unknown Classification,Alive:  Not reported dead before 2001,0,2
Before 1982,1981,50 - 54 Years,White (and also not Hispanic),Male (homosexual)  or Unknown Classification,Dead: Reported dead before 2001,1,6
Before 1982,1981,50 - 54 Years,White (and also not Hispanic),Male (homosexual)  or Unknown Classification,,,8
Before 1982,1981,50 - 54 Years,White (and also not Hispanic),,,,8
Before 1982,1981,50 - 54 Years,,,,,10
Before 1982,1981,55 - 59 Years,White (and also not Hispanic),Male (homosexual)  or Unknown Classification,Dead: Reported dead before 2001,1,2
Before 1982,1981,55 - 59 Years,White (and also not Hispanic),Male (homosexual)  or Unknown Classification,,,2
Before 1982,1981,55 - 59 Years,White (and also not Hispanic),,,,2
Before 1982,1981,55 - 59 Years,,,,,2
Before 1982,1981,,,,,,158
1982,1982,Less than 1 Year,Black (and also not Hispanic),Female (any),Dead: Reported dead before 2001,1,1
1982,1982,Less than 1 Year,Black (and also not Hispanic),Female (any),,,1
1982,1982,Less than 1 Year,Black (and also not Hispanic),Male (heterosexual or pediatric),Dead: Reported dead before 2001,1,2
1982,1982,Less than 1 Year,Black (and also not Hispanic),Male (heterosexual or pediatric),,,2
1982,1982,Less than 1 Year,Black (and also not Hispanic),,,,3
1982,1982,Less than 1 Year,Hispanic,Male (heterosexual or pediatric),Dead: Reported dead before 2001,1,1
1982,1982,Less than 1 Year,Hispanic,Male (heterosexual or pediatric),,,1
1982,1982,Less than 1 Year,Hispanic,,,,1
1982,1982,Less than 1 Year,White (and also not Hispanic),Male (heterosexual or pediatric),Dead: Reported dead before 2001,1,2
1982,1982,Less than 1 Year,White (and also not Hispanic),Male (heterosexual or pediatric),,,2
1982,1982,Less than 1 Year,White (and also not Hispanic),,,,2
1982,1982,Less than 1 Year,,,,,6
1982,1982,1 - 12 Years,Black (and also not Hispanic),Female (any),Dead: Reported dead before 2001,1,1
1982,1982,1 - 12 Years,Black (and also not Hispanic),Female (any),,,1
1982,1982,1 - 12 Years,Black (and also not Hispanic),Male (heterosexual or pediatric),Dead: Reported dead before 2001,1,1
1982,1982,1 - 12 Years,Black (and also not Hispanic),Male (heterosexual or pediatric),,,1
1982,1982,1 - 12 Years,Black (and also not Hispanic),,,,2
1982,1982,1 - 12 Years,Hispanic,Female (any),Dead: Reported dead before 2001,1,1
1982,1982,1 - 12 Years,Hispanic,Female (any),,,1
